CAPACITY,10
EMPTY_VEHICLE_WEIGHT,8
CUSTOMERS,300
NODES INFO
ID,XCOORD,YCOORD,DEMAND
0,20,20,0
1,60,23,0.78
2,92,52,0.5
3,96,91,0.87
4,81,94,0.5
5,63,45,0.5
6,27,39,1.24
7,69,90,0.74
8,99,26,1.01
9,88,96,0.67
10,83,18,0.5
11,68,27,1.77
12,98,44,0.5
13,80,53,0.5
14,17,97,1
15,41,49,0.5
16,41,54,1.61
17,53,40,0.5
18,52,29,0.5
19,26,5,0.83
20,33,64,0.5
21,40,98,1.71
22,53,78,0.61
23,14,42,1.24
24,29,30,0.5
25,59,46,1.15
26,76,80,1.2
27,18,33,0.5
28,90,91,1.13
29,59,21,0.5
30,16,42,0.5
31,26,74,0.75
32,22,0,0.62
33,19,56,0.7
34,10,25,0.5
35,36,30,0.6
36,61,67,0.5
37,55,84,1.16
38,9,38,0.77
39,38,35,1.32
40,32,67,1.39
41,12,63,0.9
42,49,22,1.16
43,65,28,0.5
44,5,74,1.59
45,86,69,0.5
46,81,9,1.41
47,15,29,1.08
48,26,81,0.92
49,78,11,1.12
50,62,74,0.73
51,93,21,0.97
52,13,76,1.05
53,71,77,0.5
54,71,23,0.5
55,69,89,0.73
56,3,23,1.07
57,7,13,0.5
58,79,93,0.5
59,26,74,0.92
60,23,60,1.15
61,40,34,0.76
62,91,27,0.5
63,51,75,1.5
64,76,89,0.5
65,17,26,1.1
66,96,22,1.26
67,45,58,0.74
68,86,0,0.6
69,98,28,0.84
70,4,27,0.5
71,77,59,0.5
72,6,55,0.62
73,42,1,0.5
74,32,85,0.79
75,93,20,1.04
76,55,8,2.14
77,17,22,1.28
78,32,63,0.91
79,20,46,1.4
80,62,78,0.5
81,41,20,1.08
82,46,54,0.89
83,81,23,0.61
84,84,55,0.83
85,3,34,0.89
86,72,17,1.27
87,27,72,0.5
88,76,90,0.57
89,89,34,0.56
90,29,0,0.95
91,65,15,1.03
92,52,57,1.42
93,73,100,1.17
94,31,70,1.47
95,97,37,1.16
96,45,57,0.59
97,81,14,0.5
98,40,64,1.31
99,66,29,0.9
100,45,29,1.7
101,53,100,0.5
102,86,87,0.92
103,24,59,0.73
104,48,83,0.7
105,26,33,0.6
106,40,36,0.97
107,88,68,0.92
108,11,64,0.58
109,28,59,0.51
110,82,66,0.57
111,49,94,0.77
112,61,46,1.15
